# XLAMB2	YLAMB2
283686.100	2401812.300
282346.600	2401722.000
282189.300	2402310.900
282472.500	2403541.000
282052.100	2403961.900
281991.200	2405313.200
281388.400	2405973.500
281182.600	2407237.500
281858.700	2407105.200
283085.800	2406202.400
283210.800	2406576.100
282637.600	2407193.500
283023.100	2407729.000
282975.500	2407992.300
282869.400	2408056.700
282800.300	2408056.600
282654.100	2408036.300
282503.900	2407991.600
282443.000	2407938.800
282382.000	2407894.200
282252.100	2407821.100
282162.700	2407739.900
282105.900	2407674.900
282065.300	2407683.100
282061.200	2407731.800
282024.700	2407800.800
281854.200	2408076.800
281781.000	2408137.800
281725.900	2408154.400
281537.400	2408211.000
281391.200	2408259.700
281090.100	2408301.400
281017.700	2408259.600
280895.700	2408174.400
280847.000	2408162.300
280765.900	2408206.900
280737.500	2408288.100
280713.000	2408324.600
280680.600	2408316.600
280635.900	2408271.800
280526.400	2408158.200
280481.600	2408101.400
280481.600	2408056.700
280449.000	2408008.000
280384.100	2407979.500
280331.300	2407910.400
280298.900	2407902.200
280201.300	2408093.200
280181.100	2408121.600
280128.200	2408146.000
280071.400	2408271.900
280047.100	2408328.800
280108.100	2408434.300
280140.400	2408495.100
280128.200	2408556.100
280128.200	2408616.900
280140.400	2408673.800
280128.200	2408775.400
280144.600	2408828.200
280073.200	2408889.700
279949.700	2409028.800
279949.900	2409080.300
279870.200	2409126.300
279816.300	2409138.200
279778.300	2409090.800
279742.400	2409035.300
279738.200	2408953.800
279700.400	2408918.100
279614.700	2408944.000
279521.000	2408950.200
279449.200	2408910.800
279443.200	2408837.300
279387.400	2408845.500
279345.400	2408821.800
279329.500	2408839.600
279289.400	2408857.600
279253.700	2408873.300
279224.000	2408934.900
279228.000	2408974.600
279293.700	2408946.600
279343.700	2409085.500
279395.700	2409071.600
279435.400	2409097.300
279465.500	2409146.900
279447.500	2409194.400
279399.800	2409267.900
279359.800	2409275.800
279344.000	2409295.700
279342.000	2409353.300
279306.100	2409389.100
279320.200	2409468.300
279418.000	2409579.200
279491.800	2409587.100
279533.700	2409755.500
279534.000	2409821.000
279585.800	2409844.600
279599.900	2409921.900
279657.700	2409914.000
279707.500	2410026.900
279793.400	2410001.000
279881.100	2410044.300
279974.900	2410208.800
279991.000	2410300.100
279992.200	2410304.300
280013.100	2410375.300
280090.900	2410530.000
280138.900	2410611.300
280214.600	2410648.900
